Run,Time,Size,Missingness,SelfWeight,Degree,TimeSteps,Fit
5.0,9.0,10.0,0.1,0.8,9.0,6.0,0.15154725467081795
5.0,10.0,10.0,0.1,0.8,9.0,6.0,0.1597349841117525
5.0,11.0,10.0,0.1,0.8,9.0,6.0,0.15575096844136593
5.0,12.0,10.0,0.1,0.8,9.0,6.0,0.16081030390319795
5.0,13.0,10.0,0.1,0.8,9.0,6.0,0.15660093411032902
5.0,14.0,10.0,0.1,0.8,9.0,6.0,0.15954277424239624
5.0,15.0,10.0,0.1,0.8,9.0,6.0,0.15542193425390405
5.0,16.0,10.0,0.1,0.8,9.0,6.0,0.1569263174425367
5.0,17.0,10.0,0.1,0.8,9.0,6.0,0.15304185649996252
5.0,18.0,10.0,0.1,0.8,9.0,6.0,0.15357169196880963
5.0,19.0,10.0,0.1,0.8,9.0,6.0,0.1499853069100902
5.0,20.0,10.0,0.1,0.8,9.0,6.0,0.14986042087084214
6.0,1.0,10.0,0.1,0.8,9.0,6.0,0.0742593640959984
6.0,2.0,10.0,0.1,0.8,9.0,6.0,0.11879760692782812
6.0,3.0,10.0,0.1,0.8,9.0,6.0,0.14795161384243516
6.0,4.0,10.0,0.1,0.8,9.0,6.0,0.16426785209763273
6.0,5.0,10.0,0.1,0.8,9.0,6.0,0.17104750323048878
6.0,6.0,10.0,0.1,0.8,9.0,6.0,0.17112598072071994
6.0,7.0,10.0,0.1,0.8,9.0,6.0,0.16674669697389216
6.0,8.0,10.0,0.1,0.8,9.0,6.0,0.15958752863577527
6.0,9.0,10.0,0.1,0.8,9.0,6.0,0.15084992783694093
6.0,10.0,10.0,0.1,0.8,9.0,6.0,0.14136317523259037
6.0,11.0,10.0,0.1,0.8,9.0,6.0,0.13168095547871286
6.0,12.0,10.0,0.1,0.8,9.0,6.0,0.12216116143858373
6.0,13.0,10.0,0.1,0.8,9.0,6.0,0.11302726987440977
6.0,14.0,10.0,0.1,0.8,9.0,6.0,0.10441316776161165
6.0,15.0,10.0,0.1,0.8,9.0,6.0,0.09639458488968936
6.0,16.0,10.0,0.1,0.8,9.0,6.0,0.08901037540435815
6.0,17.0,10.0,0.1,0.8,9.0,6.0,0.0822764435951086
6.0,18.0,10.0,0.1,0.8,9.0,6.0,0.07619450013133633
6.0,19.0,10.0,0.1,0.8,9.0,6.0,0.07075725596398641
6.0,20.0,10.0,0.1,0.8,9.0,6.0,0.0659511960736808
7.0,1.0,10.0,0.1,0.8,9.0,6.0,0.03473743869615024
7.0,2.0,10.0,0.1,0.8,9.0,6.0,0.1275019890220308
7.0,3.0,10.0,0.1,0.8,9.0,6.0,0.14641093484825562
7.0,4.0,10.0,0.1,0.8,9.0,6.0,0.13779058072882563
7.0,5.0,10.0,0.1,0.8,9.0,6.0,0.122342429376255
7.0,6.0,10.0,0.1,0.8,9.0,6.0,0.10714676280313999
7.0,7.0,10.0,0.1,0.8,9.0,6.0,0.09402652281059795
7.0,8.0,10.0,0.1,0.8,9.0,6.0,0.08315841162691649
7.0,9.0,10.0,0.1,0.8,9.0,6.0,0.07430360070945394
7.0,10.0,10.0,0.1,0.8,9.0,6.0,0.06717824092464905
7.0,11.0,10.0,0.1,0.8,9.0,6.0,0.061539269364105004
7.0,12.0,10.0,0.1,0.8,9.0,6.0,0.05718571775407573
7.0,13.0,10.0,0.1,0.8,9.0,6.0,0.05394185458554854
7.0,14.0,10.0,0.1,0.8,9.0,6.0,0.05164316048212168
7.0,15.0,10.0,0.1,0.8,9.0,6.0,0.05013043969919986
7.0,16.0,10.0,0.1,0.8,9.0,6.0,0.04925110736016126
7.0,17.0,10.0,0.1,0.8,9.0,6.0,0.04886416062167839
7.0,18.0,10.0,0.1,0.8,9.0,6.0,0.048845262339994235
7.0,19.0,10.0,0.1,0.8,9.0,6.0,0.04908978456026698
7.0,20.0,10.0,0.1,0.8,9.0,6.0,0.049513319033460824
8.0,1.0,10.0,0.1,0.8,9.0,6.0,0.024133328602759848
8.0,2.0,10.0,0.1,0.8,9.0,6.0,0.04339624497857414
8.0,3.0,10.0,0.1,0.8,9.0,6.0,0.058513024591263625
8.0,4.0,10.0,0.1,0.8,9.0,6.0,0.0698384866736123
8.0,5.0,10.0,0.1,0.8,9.0,6.0,0.07781117936201874
8.0,6.0,10.0,0.1,0.8,9.0,6.0,0.08294442225482018
8.0,7.0,10.0,0.1,0.8,9.0,6.0,0.08575890422777424
8.0,8.0,10.0,0.1,0.8,9.0,6.0,0.08673558176932271
8.0,9.0,10.0,0.1,0.8,9.0,6.0,0.08629334813315206
8.0,10.0,10.0,0.1,0.8,9.0,6.0,0.08478321951315893
8.0,11.0,10.0,0.1,0.8,9.0,6.0,0.08249155968585437
8.0,12.0,10.0,0.1,0.8,9.0,6.0,0.07964745679707302
8.0,13.0,10.0,0.1,0.8,9.0,6.0,0.07643142746988955
8.0,14.0,10.0,0.1,0.8,9.0,6.0,0.07298395675584075
8.0,15.0,10.0,0.1,0.8,9.0,6.0,0.06941317658251855
8.0,16.0,10.0,0.1,0.8,9.0,6.0,0.06580143235319046
8.0,17.0,10.0,0.1,0.8,9.0,6.0,0.062210723503834386
8.0,18.0,10.0,0.1,0.8,9.0,6.0,0.05868711673528379
8.0,19.0,10.0,0.1,0.8,9.0,6.0,0.05526427432039249
8.0,20.0,10.0,0.1,0.8,9.0,6.0,0.05196624671606841
9.0,1.0,10.0,0.1,0.8,9.0,6.0,0.02690117423985461
9.0,2.0,10.0,0.1,0.8,9.0,6.0,0.04292089633878474
9.0,3.0,10.0,0.1,0.8,9.0,6.0,0.052091800363800164
9.0,4.0,10.0,0.1,0.8,9.0,6.0,0.056959635382811236
9.0,5.0,10.0,0.1,0.8,9.0,6.0,0.059199398873299995
9.0,6.0,10.0,0.1,0.8,9.0,6.0,0.05990426007703899
9.0,7.0,10.0,0.1,0.8,9.0,6.0,0.05977500708865332
9.0,8.0,10.0,0.1,0.8,9.0,6.0,0.05924957834613245
9.0,9.0,10.0,0.1,0.8,9.0,6.0,0.058592863321747374
9.0,10.0,10.0,0.1,0.8,9.0,6.0,0.05795805298015122
9.0,11.0,10.0,0.1,0.8,9.0,6.0,0.05742745744457222
9.0,12.0,10.0,0.1,0.8,9.0,6.0,0.05703907055115239
9.0,13.0,10.0,0.1,0.8,9.0,6.0,0.05680369429786302
9.0,14.0,10.0,0.1,0.8,9.0,6.0,0.056716007086148094
9.0,15.0,10.0,0.1,0.8,9.0,6.0,0.05676176863570037
9.0,16.0,10.0,0.1,0.8,9.0,6.0,0.05692251013961627
