Run,Size,Missingness,SelfWeight,Degree,TimeSteps,Recovery,MeanDegree,MeanSelfWeight,Fit,RMSETime
1.0,4.0,0.0,0.5,2.0,11.0,9.82338046929461e-7,1.5,0.5261953352525943,9.334730903346244e-8,8.784864433614458e-8
2.0,4.0,0.0,0.5,2.0,11.0,0.004651679070984923,2.0,0.5253992659809938,1.498586153811258e-5,1.6652688458282935e-5
3.0,4.0,0.0,0.5,2.0,11.0,1.845277829527625e-6,1.5,0.4215143045411742,2.912492825582932e-7,4.060767618143428e-7
4.0,4.0,0.0,0.5,2.0,11.0,0.10961590941546044,3.0,0.50010136331918,8.024131013943752e-5,0.00010512995094013252
5.0,4.0,0.0,0.5,2.0,11.0,0.01002191103233295,2.5,0.6400653249174262,0.000672186456231216,0.0004212418184688809
6.0,4.0,0.0,0.5,2.0,11.0,0.08987570101834115,3.0,0.5161463524960253,0.0002832501488616398,0.00039639879744868695
7.0,4.0,0.0,0.5,2.0,11.0,0.12897989160256948,2.0,0.5669981868914935,0.0007773080385184422,0.0009130726004404472
8.0,4.0,0.0,0.5,2.0,11.0,0.05835421196692196,2.0,0.4753018417813747,9.843823994668074e-5,0.00010927232873730159
9.0,4.0,0.0,0.5,2.0,11.0,0.00014015204018783981,2.0,0.4862357004460648,5.379537709948871e-6,6.60753881677451e-6
10.0,4.0,0.0,0.5,2.0,11.0,4.095828264287888e-8,1.5,0.5608629111323107,1.1798767645709796e-8,1.421561007540724e-8
1.0,4.0,0.0,0.8,2.0,2.0,0.13481563598135188,2.5,0.8127882662178545,0.0844755396348285,4.604561977496251e-11
2.0,4.0,0.0,0.8,2.0,2.0,0.0509578662607605,2.0,0.7193360536426099,0.011253955323658207,1.7919977160760336e-10
3.0,4.0,0.0,0.8,2.0,2.0,0.2782868092796097,2.5,0.7203075474548688,0.040976450103729155,1.2958634303172331e-11
4.0,4.0,0.0,0.8,2.0,2.0,0.1844376908904276,2.5,0.7528165697167739,0.013019616105453238,3.9017508398262286e-14
5.0,4.0,0.0,0.8,2.0,2.0,0.15593014777865935,2.5,0.8309657704085953,0.032672398763435334,0.0
6.0,4.0,0.0,0.8,2.0,2.0,0.24310150130949132,2.0,0.875461501532135,0.02177641107611404,3.7686242666613296e-13
7.0,4.0,0.0,0.8,2.0,2.0,0.28645314749171774,3.0,0.8757063323977718,0.027679732987909152,1.0758341811499565e-13
8.0,4.0,0.0,0.8,2.0,2.0,0.09962015612594043,1.5,0.808947515263263,0.01662993368086855,9.175993298526919e-13
9.0,4.0,0.0,0.8,2.0,2.0,0.22533267825370143,2.5,0.682819918618933,0.021288601952505207,1.4666975864074812e-13
10.0,4.0,0.0,0.8,2.0,2.0,0.20108203713617578,3.0,0.9273960414709097,0.01447419288859637,9.000975053844072e-12
1.0,4.0,0.0,0.8,2.0,3.0,0.007910742740699214,2.5,0.8080245871033933,0.004834330388052775,0.00012250305938853317
2.0,4.0,0.0,0.8,2.0,3.0,0.020864543127282205,2.5,0.8066523880801093,0.01841259201205738,2.5413896910735567e-6
3.0,4.0,0.0,0.8,2.0,3.0,0.032804988078891456,3.0,0.8028074089621153,0.00826838937362781,0.00020180196485317992
4.0,4.0,0.0,0.8,2.0,3.0,5.901897977024537e-7,1.5,0.8309746669338584,5.412711932850775e-7,1.5263121005661526e-8
5.0,4.0,0.0,0.8,2.0,3.0,0.003784118901738556,1.5,0.8122618751147355,0.003000907929306076,7.673598499162304e-5
6.0,4.0,0.0,0.8,2.0,3.0,0.05918551399954901,3.0,0.7232033752714697,0.007757368155491651,7.505432196977094e-5
7.0,4.0,0.0,0.8,2.0,3.0,0.075827661509631,2.5,0.8443029025195156,0.016132007424919503,5.132094344532522e-7
8.0,4.0,0.0,0.8,2.0,3.0,3.6249016418972516e-6,1.5,0.8959080342584403,4.532861554514856e-6,1.1948660460110623e-7
9.0,4.0,0.0,0.8,2.0,3.0,0.06665222626442088,2.5,0.8177676341740416,0.017168915540859787,2.1189607493869184e-5
10.0,4.0,0.0,0.8,2.0,3.0,0.1544498461738777,2.5,0.6911761129691986,0.009937117916055692,0.0001600556005787742
1.0,4.0,0.0,0.8,2.0,6.0,0.060519458380717,2.0,0.7382101120532267,0.0018622119989304233,0.00020839711815612576
2.0,4.0,0.0,0.8,2.0,6.0,0.002243769045992311,1.5,0.8462323838854341,0.00026835456597621083,4.496531610074667e-6
3.0,4.0,0.0,0.8,2.0,6.0,0.00020228454141894782,2.0,0.8394733434382473,0.00011139774507787207,1.2311898495969039e-5
4.0,4.0,0.0,0.8,2.0,6.0,0.03697436096573534,2.0,0.8309931305658698,0.05062217072058424,0.0011658741246134451
5.0,4.0,0.0,0.8,2.0,6.0,0.004096601226804215,2.5,0.8140029106754145,0.003293818848342778,9.045732683958341e-5
6.0,4.0,0.0,0.8,2.0,6.0,0.02332595584189704,2.5,0.856615774224686,0.0031096323090976925,7.396411371501196e-5
7.0,4.0,0.0,0.8,2.0,6.0,0.009747104706049526,2.0,0.7156337031826248,0.0010071274795229867,9.757039011482596e-5
8.0,4.0,0.0,0.8,2.0,6.0,0.008769712346163267,2.0,0.8104197998622273,0.0007659925408721783,0.0003937090471829941
9.0,4.0,0.0,0.8,2.0,6.0,7.463923471511245e-9,1.5,0.799853535385416,2.099235573032125e-9,9.44083816387986e-10
10.0,4.0,0.0,0.8,2.0,6.0,0.05558580043505052,2.0,0.7669270281605068,0.0008370069199497577,7.46920519759312e-5
1.0,4.0,0.0,0.8,2.0,11.0,0.0017273533921760159,2.0,0.7866813981329303,2.2544876593788716e-5,4.785133589872792e-6
2.0,4.0,0.0,0.8,2.0,11.0,0.0660981899467701,2.5,0.7876696128441878,0.00034408435273480884,0.000324480948306168
3.0,4.0,0.0,0.8,2.0,11.0,0.21283636935509587,2.5,0.8391441965749653,0.0007452221792163264,0.00034244458716493263
4.0,4.0,0.0,0.8,2.0,11.0,0.00036853848129807384,1.5,0.8633302864856895,0.0001933559600255535,2.6925179229199496e-5
